name,rating,price_level,rating_count,tags,address
BEANTOWN KEBAB,5.0,Unknown,69.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","7 Liberty Sq, Boston"
Lotus Test Kitchen,4.9,2,135.0,"('cafe', 'restaurant', 'food', 'point_of_interest', 'establishment')","25 Chauncy St, Boston"
The Greek Gyro,4.9,1,60.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","88 Peterborough St, Boston"
Energize,4.9,2,178.0,"('store', 'restaurant', 'food', 'point_of_interest', 'establishment')","265 Massachusetts Ave, Boston"
Cheese Meet Wine,4.9,Unknown,267.0,"('restaurant', 'bar', 'food', 'point_of_interest', 'establishment')","1 Broadway, Everett"
Phin Coffee House,4.9,1,399.0,"('cafe', 'store', 'food', 'point_of_interest', 'establishment')","10 High St, Downtown"
Mo'Rockin Fusion,4.9,1,261.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","100 Hanover St, Boston"
Suasday Sandwich Co.,4.8,1,91.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","227 Hanover St, Boston"
Mario's Restaurant,4.8,2,493.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","347 Chelsea St, Boston"
Tradesman Coffee Shop & Pizza Bar,4.8,2,368.0,"('cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment')","50 Hood Park Dr, Boston"
Comfort Kitchen,4.8,2,280.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","611 Columbia Rd, Dorchester"
Bangkok Bento Thai Kitchen and Sushi bar,4.8,2,373.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","272 Newbury St, Boston"
Playa Bowls,4.8,2,376.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","277 Huntington Ave, Boston"
Galleria Umberto,4.8,1,1002.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","289 Hanover St, Boston"
Banh Mi Huong Que,4.8,1,104.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","696 Washington St, Boston"
Theo's Cozy Corner Restaurant,4.7,1,1306.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","162 Salem St, Boston"
Kala Thai Cookery,4.7,2,756.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","151 Hanover St, Boston"
The Dirty Italian,4.7,Unknown,71.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","144 Old Colony Ave, Boston"
Mamma Maria,4.7,3,1336.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","3 N Square, Boston"
Waverly Kitchen & Bar Charlestown,4.7,2,154.0,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","231 Bunker Hill St, Charlestown"
Bab Al-Yemen Restaurant مطعم باب اليمن,4.7,2,1459.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","468 Commonwealth Ave, Boston"
Bonne Chance Cafe,4.7,Unknown,104.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","77 Canal St, Boston"
Aceituna Grill,4.7,2,53.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","267 Newbury St, Boston"
FLORINA Pizzeria & Paninoteca,4.7,1,538.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","16 Derne St, Boston"
Himalayan Kitchen,4.7,1,1132.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","40 Bow St, Somerville"
Krasi,4.7,2,673.0,"('restaurant', 'food', 'bar', 'point_of_interest', 'establishment')","48 Gloucester St, Boston"
Isabella Restaurant,4.7,2,376.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","2 Prince St, Boston"
Precinct Kitchen + Bar,4.7,Unknown,61.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","154 Berkeley St, Boston"
Action Kitchen,4.7,Unknown,27.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","1 Seaport Ln, Boston"
Dino's Cafe,4.7,1,754.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","141 Salem St, Boston"
Cafe Bonjour,4.7,2,1717.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","55 Temple Pl, Boston"
Say Weekend,4.7,1,26.0,"('cafe', 'bakery', 'restaurant', 'store', 'food', 'point_of_interest', 'establishment')","99 Summer Street, Boston"
MAGURO Sushi Thai Ramen,4.7,2,283.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","1335 Beacon St, Brookline"
Chickadee,4.7,2,460.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","21 Drydock Ave, Boston"
Singh's Dhaba,4.7,2,226.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","1001 Massachusetts Ave, Cambridge"
Casa Razdora,4.7,1,263.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","115 Water St, Boston"
Matcha Cafe Maiko,4.7,1,372.0,"('cafe', 'food', 'point_of_interest', 'establishment')","115 Jersey St, Boston"
Delux Cafe,4.7,1,616.0,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","100 Chandler St, Boston"
Oleana,4.7,3,1681.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","134 Hampshire St, Cambridge"
Pammy's,4.7,3,813.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","928 Massachusetts Ave, Cambridge"
Ten One Tea House,4.7,1,48.0,"('cafe', 'point_of_interest', 'food', 'establishment')","1323 Boylston St, Boston"
Somenya,4.7,Unknown,62.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","23 Hudson St, Boston"
Ding Ho,4.7,1,154.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","88 Harrison Ave, Boston"
Toasted Flats,4.7,1,382.0,"('cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment')","53 Chelsea St, Boston"
Rainbow Sushi Brookline,4.7,2,131.0,"('meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment')","187 Harvard St, Brookline"
Saloniki Greek,4.7,1,44.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","1 Beacon St, Boston"
Moonshine 152,4.7,2,765.0,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","152 Dorchester Ave, Boston"
Taquería Jalisco,4.7,1,1147.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","291 Bennington St, Boston"
Galley Diner,4.7,1,329.0,"('meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment')","11 P St, South Boston"
Euno,4.7,2,375.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","119 Salem St, Boston"
LaMei Hot Pot,4.7,2,283.0,"('meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment')","230 Harvard St, Brookline"
Banh Mi Ok,4.7,Unknown,201.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","44 School St, Boston"
El Jefe's Taqueria - Boston Common,4.7,2,693.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","80 Boylston St, Boston"
Cafe Porto Bello,4.6,2,221.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","672 E Broadway, South Boston"
SRV,4.6,3,1012.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","569 Columbus Ave, Boston"
KAVA Neo-Taverna,4.6,3,851.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","315 Shawmut Ave, Boston"
o ya,4.6,4,525.0,"('meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment')","9 E St, Boston"
Regina Pizzeria,4.6,2,5502.0,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","11 1/2 Thacher St, Boston"
AllSpice Restaurant,4.6,Unknown,116.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","805 Harrison Ave, Boston"
