index,name,place_id,rating,rating_count,tags,address,price_level
0,Poké station and kitchen,ChIJX2gMMRF744kRT0joQSv1s-I,4.1,142,"('restaurant', 'point_of_interest', 'food', 'establishment')","313 Huntington Ave, Boston",Unknown
1,Café 26,ChIJW_a-KZ1w44kRHk5Kn5rtyfU,4.4,750,"('cafe', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment')","26 Temple Pl, Boston",1
2,Saigon Hut,ChIJwUoKo1pw44kRSICBAhb-SZ8,4.3,270,"('restaurant', 'point_of_interest', 'food', 'establishment')","305 Meridian St, Boston",1
3,Panera Bread,ChIJD1pVc_R544kRl6kBuJSBcvE,3.9,709,"('cafe', 'bakery', 'meal_takeaway', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment')","289 Huntington Ave, Boston",2
4,Pita Cambridge,ChIJ-yVYgUt344kRLGUJ2BSPvYg,4.3,283,"('restaurant', 'food', 'point_of_interest', 'establishment')","12 Springfield St, Cambridge",2
5,Bottega di Capri,ChIJN9X4jpd544kRQUxG6ZwdAiw,4.6,620,"('store', 'restaurant', 'food', 'point_of_interest', 'establishment')","41 Harvard St, Brookline",1
6,Caffé Lavazza at Eataly,ChIJPYedyQ9644kRh7EbCMTD4a8,4.3,68,"('cafe', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment')","888 Boylston St, Boston",3
7,McDonald's,ChIJe645PYNw44kRrNMypLAQ6lc,3.8,1358,"('cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment')","329 Washington St, Boston",1
8,Desfina Restaurant,ChIJaVpEDbtw44kRfYUcSkFVch4,4.4,639,"('restaurant', 'food', 'bar', 'point_of_interest', 'establishment')","202 Third St, Cambridge",2
9,Poké station and kitchen,ChIJX2gMMRF744kRT0joQSv1s-I,4.1,142,"('restaurant', 'food', 'point_of_interest', 'establishment')","313 Huntington Ave, Boston",Unknown
10,Saigon Hut,ChIJwUoKo1pw44kRSICBAhb-SZ8,4.3,270,"('restaurant', 'food', 'point_of_interest', 'establishment')","305 Meridian St, Boston",1
11,BibimBox,ChIJxYVN2Ydx44kRCvPVi-JVl08,4.1,9,"('restaurant', 'food', 'point_of_interest', 'establishment')","78 Massachusetts Ave, Cambridge",Unknown
12,Montien Thai Restaurant,ChIJtVC2q3d644kRXSkDh4XNwG4,4.2,851,"('meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","63 Stuart St, Boston",2
13,Bonne Chance Cafe,ChIJgUvYs49w44kRXOOvMUm8ub4,4.7,104,"('restaurant', 'food', 'point_of_interest', 'establishment')","77 Canal St, Boston",Unknown
14,Montien Thai Restaurant,ChIJtVC2q3d644kRXSkDh4XNwG4,4.2,851,"('meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'bar', 'point_of_interest', 'establishment')","63 Stuart St, Boston",2
15,Boca Grande Taqueria,ChIJ-YDaNZh544kRRsVNCpBOBqQ,4.1,185,"('restaurant', 'food', 'point_of_interest', 'establishment')","3 Harvard Square, Brookline",1
16,Amrheins Restaurant,ChIJk_GRV2N644kRRgzC8sAwS4c,4.3,947,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","80 W Broadway, Boston",2
